QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
35 | KM-01 | KT0208 | Workplace Health, Safety & Environmental Protection | Environmental protection | MCQ | Which of the following is considered hazardous waste? | Clean water | Scrap paper | Used oil | Cardboard | Wood shavings | C | 1 | Understand
36 | KM-01 | KT0208 | Workplace Health, Safety & Environmental Protection | Environmental protection | TF | Hazardous waste must be disposed of according to environmental regulations. | True | False |  |  |  | A | 1 | Remember
37 | KM-01 | KT0208 | Workplace Health, Safety & Environmental Protection | Environmental protection | MCQ | What is the purpose of spill containment? | To hide spills | To prevent environmental contamination | To increase production | To cool machinery | To reduce noise | B | 1 | Apply
38 | KM-01 | KT0208 | Workplace Health, Safety & Environmental Protection | Environmental protection | TF | Oil spills can contaminate soil and groundwater. | True | False |  |  |  | A | 1 | Understand
39 | KM-01 | KT0202 | Workplace Health, Safety & Environmental Protection | Workshop safety rules | MCQ | Which action is unsafe in a workshop? | Keeping walkways clear | Wearing PPE | Using tools correctly | Running or horseplay | Reporting hazards | D | 1 | Remember
40 | KM-01 | KT0202 | Workplace Health, Safety & Environmental Protection | Workshop safety rules | TF | Only supervisors are responsible for safety in the workshop. | True | False |  |  |  | B | 1 | Understand
41 | KM-01 | KT0201 | Workplace Health, Safety & Environmental Protection | Safe work practices | MCQ | Safe work practices are important because they: | Slow down production | Reduce accidents and injuries | Increase paperwork | Replace PPE | Remove hazards completely | B | 1 | Understand
42 | KM-01 | KT0201 | Workplace Health, Safety & Environmental Protection | Safe work practices | TF | Safe work practices must be followed at all times, even during simple tasks. | True | False |  |  |  | A | 1 | Apply
43 | KM-01 | KT0204 | Workplace Health, Safety & Environmental Protection | Safety symbols | MCQ | A green square sign usually indicates: | Danger | Mandatory action | Safe condition | Prohibition | Fire equipment | C | 1 | Remember
44 | KM-01 | KT0204 | Workplace Health, Safety & Environmental Protection | Safety symbols | TF | Fire equipment signs are normally red. | True | False |  |  |  | A | 1 | Remember
45 | KM-01 | KT0205 | Workplace Health, Safety & Environmental Protection | PPE | MCQ | Which PPE protects against hearing damage? | Gloves | Safety boots | Ear protection | Goggles | Hard hat | C | 1 | Remember
46 | KM-01 | KT0205 | Workplace Health, Safety & Environmental Protection | PPE | TF | PPE must be maintained and replaced when damaged. | True | False |  |  |  | A | 1 | Apply
47 | KM-01 | KT0206 | Workplace Health, Safety & Environmental Protection | Hazard identification | MCQ | A common hazard in mechanical workshops is: | Loud music | Poor lighting | Clean floors | Organized tools | Good ventilation | B | 1 | Understand
48 | KM-01 | KT0206 | Workplace Health, Safety & Environmental Protection | Hazard identification | TF | Hazard identification should be done continuously, not only once. | True | False |  |  |  | A | 1 | Understand
49 | KM-01 | KT0207 | Workplace Health, Safety & Environmental Protection | Securing worksites | MCQ | Lockout/Tagout procedures are used to: | Increase machine speed | Prevent accidental machine start-up | Reduce paperwork | Improve lighting | Store tools | B | 1 | Apply
50 | KM-01 | KT0207 | Workplace Health, Safety & Environmental Protection | Securing worksites | TF | Lockout/Tagout protects workers from unexpected energy release. | True | False |  |  |  | A | 1 | Apply
51 | KM-01 | KT0301 | Engineering Drawings | Freehand accuracy | MCQ | What is the purpose of freehand engineering sketches? | To create artistic drawings | To quickly communicate technical ideas | To replace detailed CAD drawings | To decorate workshop walls | To record financial data | B | 1 | Understand
52 | KM-01 | KT0301 | Engineering Drawings | Freehand accuracy | TF | Freehand sketches must resemble the object in shape and proportion. | True | False |  |  |  | A | 1 | Apply
53 | KM-01 | KT0302 | Engineering Drawings | Symbols & abbreviations | MCQ | What does the symbol ù represent on a drawing? | Radius | Diameter | Length | Width | Angle | B | 1 | Remember
54 | KM-01 | KT0302 | Engineering Drawings | Symbols & abbreviations | TF | The abbreviation ?THRU? means a hole goes completely through the material. | True | False |  |  |  | A | 1 | Remember
55 | KM-01 | KT0303 | Engineering Drawings | Instruments | MCQ | Which instrument is used to draw circles and arcs? | Protractor | Compass | Divider | French curve | Scriber | B | 1 | Remember
56 | KM-01 | KT0303 | Engineering Drawings | Instruments | TF | A protractor is used to measure angles. | True | False |  |  |  | A | 1 | Remember
57 | KM-01 | KT0304 | Engineering Drawings | Dimensioning | MCQ | Which rule applies to dimensioning? | Dimensions must be duplicated | Dimensions must be clear and not cluttered | Dimensions must be hidden | Dimensions must be placed randomly | Dimensions must be written in cursive | B | 1 | Understand
58 | KM-01 | KT0304 | Engineering Drawings | Dimensioning | TF | Dimension lines must not touch the object lines. | True | False |  |  |  | A | 1 | Apply
59 | KM-01 | KT0305 | Engineering Drawings | Isometric interpretation | MCQ | An isometric drawing shows an object in: | True 2D | True 3D | 3D illusion with equal axes | Orthographic projection | Sectional view | C | 1 | Understand
60 | KM-01 | KT0305 | Engineering Drawings | Isometric interpretation | TF | In isometric drawings, all axes are drawn at 120¯ to each other. | True | False |  |  |  | A | 1 | Remember
61 | KM-01 | KT0306 | Engineering Drawings | Assembly interpretation | MCQ | What is the purpose of an assembly drawing? | To show only dimensions | To show how parts fit together | To show only material types | To show only tolerances | To show only surface finish | B | 1 | Understand
62 | KM-01 | KT0306 | Engineering Drawings | Assembly interpretation | TF | Assembly drawings often include item numbers and a parts list. | True | False |  |  |  | A | 1 | Remember
63 | KM-01 | KT0301 | Engineering Drawings | Freehand accuracy | MCQ | Which feature is MOST important in freehand sketches? | Artistic shading | Exact colour | Proportional accuracy | Perfect line weight | Decorative borders | C | 1 | Apply
64 | KM-01 | KT0302 | Engineering Drawings | Symbols & abbreviations | MCQ | What does the abbreviation ?R? indicate? | Radius | Roughness | Right-hand thread | Recess | Reference | A | 1 | Remember
65 | KM-01 | KT0302 | Engineering Drawings | Symbols & abbreviations | TF | The symbol ? indicates a countersink. | True | False |  |  |  | B | 1 | Remember
66 | KM-01 | KT0303 | Engineering Drawings | Instruments | MCQ | Which tool is used to check 90¯ angles? | Vernier caliper | Steel rule | Engineer?s square | Divider | Compass | C | 1 | Apply
67 | KM-01 | KT0303 | Engineering Drawings | Instruments | TF | A divider is used to transfer measurements. | True | False |  |  |  | A | 1 | Remember
68 | KM-01 | KT0304 | Engineering Drawings | Dimensioning | MCQ | Which type of line is used for dimension lines? | Thick continuous | Thin continuous | Chain line | Phantom line | Hidden line | B | 1 | Remember
69 | KM-01 | KT0304 | Engineering Drawings | Dimensioning | TF | Arrowheads must be neat and consistent in size. | True | False |  |  |  | A | 1 | Apply
70 | KM-01 | KT0305 | Engineering Drawings | Isometric interpretation | MCQ | Which statement is TRUE about isometric drawings? | Circles appear as perfect circles | Circles appear as ellipses | Only two axes are used | Dimensions are not shown | Hidden lines are always included | B | 1 | Understand
71 | KM-01 | KT0305 | Engineering Drawings | Isometric interpretation | TF | Isometric drawings help visualize the object in 3D. | True | False |  |  |  | A | 1 | Understand
72 | KM-01 | KT0306 | Engineering Drawings | Sectional drawings | MCQ | What is the purpose of a sectional view? | To show colour | To show hidden internal features | To show only the outside | To show only dimensions | To show surface finish | B | 1 | Understand
73 | KM-01 | KT0306 | Engineering Drawings | Sectional drawings | TF | Section lines (hatching) indicate cut surfaces. | True | False |  |  |  | A | 1 | Remember
74 | KM-01 | KT0306 | Engineering Drawings | Detailed drawings | MCQ | A detailed drawing typically includes: | Only a picture | Only a title | Dimensions, tolerances, and notes | Only material type | Only surface finish | C | 1 | Understand
75 | KM-01 | KT0306 | Engineering Drawings | Detailed drawings | TF | Detailed drawings must contain all information needed to manufacture a part. | True | False |  |  |  | A | 1 | Apply
76 | KM-01 | KT0302 | Engineering Drawings | Symbols & abbreviations | MCQ | What does the abbreviation ?CSK? mean? | Countersink | Counterbore | Case hardened | Cold steel | Centre slot | A | 1 | Remember
77 | KM-01 | KT0302 | Engineering Drawings | Symbols & abbreviations | TF | The abbreviation ?CB? stands for counterbore. | True | False |  |  |  | A | 1 | Remember
78 | KM-01 | KT0303 | Engineering Drawings | Instruments | MCQ | Which instrument is used for precise linear measurement? | Steel rule | Vernier caliper | Divider | Compass | Protractor | B | 1 | Apply
79 | KM-01 | KT0303 | Engineering Drawings | Instruments | TF | A steel rule provides more precise measurements than a vernier caliper. | True | False |  |  |  | B | 1 | Understand
80 | KM-01 | KT0304 | Engineering Drawings | Dimensioning | MCQ | Which dimensioning method places dimensions outside the view? | Aligned | Unidirectional | Baseline | Chain | External | E | 1 | Understand
81 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | MCQ | What is metallurgy? | The study of metals and their properties | The study of electricity | The study of plastics | The study of heat transfer only | The study of gases | A | 1 | Understand
82 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | TF | Heat treatment can change the hardness of a metal. | True | False |  |  |  | A | 1 | Apply
83 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | MCQ | Which heat treatment process increases hardness? | Annealing | Normalizing | Hardening | Tempering | Stress relieving | C | 1 | Remember
84 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | TF | Annealing softens metal and improves ductility. | True | False |  |  |  | A | 1 | Understand
85 | KM-01 | KT0402 | Engineering Materials | Properties | MCQ | Which property describes a material?s ability to resist wear? | Brittleness | Hardness | Ductility | Malleability | Conductivity | B | 1 | Remember
86 | KM-01 | KT0402 | Engineering Materials | Properties | TF | Ductility refers to a material?s ability to be drawn into wire. | True | False |  |  |  | A | 1 | Remember
87 | KM-01 | KT0402 | Engineering Materials | Properties | MCQ | Which material is known for high corrosion resistance? | Mild steel | Cast iron | Stainless steel | Carbon steel | Tool steel | C | 1 | Understand
88 | KM-01 | KT0402 | Engineering Materials | Properties | TF | Synthetic materials include plastics and composites. | True | False |  |  |  | A | 1 | Remember
89 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | MCQ | Which of the following is a ferrous metal? | Aluminium | Copper | Brass | Mild steel | Lead | D | 1 | Remember
90 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | TF | Non-ferrous metals do not contain iron. | True | False |  |  |  | A | 1 | Remember
91 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | MCQ | Which metal is commonly used for electrical wiring? | Cast iron | Brass | Copper | Stainless steel | Tool steel | C | 1 | Understand
92 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | TF | Brass is an alloy of copper and zinc. | True | False |  |  |  | A | 1 | Remember
93 | KM-01 | KT0404 | Engineering Materials | Specifications & testing | MCQ | Tensile testing measures a material?s: | Colour | Electrical resistance | Strength under tension | Melting point | Hardness only | C | 1 | Understand
94 | KM-01 | KT0404 | Engineering Materials | Specifications & testing | TF | Hardness testing determines a material?s resistance to indentation. | True | False |  |  |  | A | 1 | Remember
95 | KM-01 | KT0404 | Engineering Materials | Specifications & testing | MCQ | Which test uses a diamond pyramid indenter? | Brinell | Rockwell B | Vickers | Charpy | Izod | C | 1 | Remember
96 | KM-01 | KT0404 | Engineering Materials | Specifications & testing | TF | Charpy testing measures impact toughness. | True | False |  |  |  | A | 1 | Understand
97 | KM-01 | KT0402 | Engineering Materials | Properties | MCQ | Which property describes a material?s ability to deform without breaking? | Brittleness | Elasticity | Ductility | Hardness | Conductivity | C | 1 | Understand
98 | KM-01 | KT0402 | Engineering Materials | Properties | TF | Brittle materials break suddenly without significant deformation. | True | False |  |  |  | A | 1 | Remember
99 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | MCQ | Which process relieves internal stresses in metal? | Hardening | Tempering | Stress relieving | Case hardening | Quenching | C | 1 | Understand
100 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | TF | Quenching involves rapid cooling of heated metal. | True | False |  |  |  | A | 1 | Remember
101 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | MCQ | Which of the following is a non-ferrous alloy? | Stainless steel | Cast iron | Bronze | Tool steel | Carbon steel | C | 1 | Remember
102 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | TF | Aluminium is lightweight and corrosion resistant. | True | False |  |  |  | A | 1 | Understand
103 | KM-01 | KT0404 | Engineering Materials | Specifications & testing | MCQ | Material specifications typically include: | Colour and shape | Dimensions only | Chemical composition and mechanical properties | Price and supplier | Surface finish only | C | 1 | Understand
104 | KM-01 | KT0404 | Engineering Materials | Specifications & testing | TF | Mechanical properties include hardness, toughness, and tensile strength. | True | False |  |  |  | A | 1 | Remember
105 | KM-01 | KT0402 | Engineering Materials | Properties | MCQ | Which material is known for excellent heat resistance? | Aluminium | Mild steel | Cast iron | Copper | Plastic | C | 1 | Understand
106 | KM-01 | KT0402 | Engineering Materials | Properties | TF | Plastics generally have low melting points compared to metals. | True | False |  |  |  | A | 1 | Remember
107 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | MCQ | Case hardening is used to: | Harden the entire metal | Soften the metal | Harden the surface while keeping the core tough | Remove impurities | Improve electrical conductivity | C | 1 | Apply
108 | KM-01 | KT0401 | Engineering Materials | Basic metallurgy | TF | Tempering reduces brittleness after hardening. | True | False |  |  |  | A | 1 | Understand
109 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | MCQ | Which metal is commonly used for bearings due to low friction? | Lead | Bronze | Stainless steel | Cast iron | Mild steel | B | 1 | Understand
110 | KM-01 | KT0403 | Engineering Materials | Ferrous vs non-ferrous | TF | Ferrous metals are generally magnetic. | True | False |  |  |  | A | 1 | Remember
111 | KM-01 | KT0501 | Engineering Tools & Equipment | Hand tools | MCQ | Which tool is used to hold components securely during filing? | Spanner | Bench vice | Hacksaw | Pliers | Mallet | B | 1 | Remember
112 | KM-01 | KT0501 | Engineering Tools & Equipment | Hand tools | TF | A bench vice must be firmly secured to the workbench before use. | True | False |  |  |  | A | 1 | Apply
113 | KM-01 | KT0502 | Engineering Tools & Equipment | Cutting tools | MCQ | Which tool is used to cut external threads? | Tap | Die | File | Chisel | Reamer | B | 1 | Understand
114 | KM-01 | KT0502 | Engineering Tools & Equipment | Cutting tools | TF | A hacksaw blade must be tensioned correctly before cutting. | True | False |  |  |  | A | 1 | Apply
115 | KM-01 | KT0503 | Engineering Tools & Equipment | Power tools | MCQ | Which tool is used for grinding metal surfaces? | Angle grinder | Power drill | Jigsaw | Heat gun | Sander | A | 1 | Remember
116 | KM-01 | KT0503 | Engineering Tools & Equipment | Power tools | TF | Power tools must always be disconnected before changing accessories. | True | False |  |  |  | A | 1 | Apply
117 | KM-01 | KT0504 | Engineering Tools & Equipment | Measuring tools | MCQ | Which instrument provides the most precise measurement? | Steel rule | Vernier caliper | Tape measure | Try square | Divider | B | 1 | Understand
118 | KM-01 | KT0504 | Engineering Tools & Equipment | Measuring tools | TF | A micrometer is more accurate than a vernier caliper. | True | False |  |  |  | A | 1 | Remember
119 | KM-01 | KT0505 | Engineering Tools & Equipment | Marking-off tools | MCQ | Which tool is used to scribe fine lines on metal? | Hammer | Scriber | Punch | Chisel | File | B | 1 | Remember
120 | KM-01 | KT0505 | Engineering Tools & Equipment | Marking-off tools | TF | A center punch is used to create indentations for drilling. | True | False |  |  |  | A | 1 | Apply
121 | KM-01 | KT0501 | Engineering Tools & Equipment | Hand tools | MCQ | Which tool is used to tighten or loosen nuts and bolts? | File | Spanner | Hacksaw | Punch | Chisel | B | 1 | Remember
122 | KM-01 | KT0501 | Engineering Tools & Equipment | Hand tools | TF | Pliers are suitable for tightening nuts and bolts. | True | False |  |  |  | B | 1 | Understand
123 | KM-01 | KT0502 | Engineering Tools & Equipment | Cutting tools | MCQ | A reamer is used to: | Cut threads | Enlarge and finish holes | Remove burrs | Cut grooves | Mark lines | B | 1 | Understand
124 | KM-01 | KT0502 | Engineering Tools & Equipment | Cutting tools | TF | Files must be used with a handle to prevent injury. | True | False |  |  |  | A | 1 | Apply
125 | KM-01 | KT0503 | Engineering Tools & Equipment | Power tools | MCQ | Which power tool is used for drilling holes? | Angle grinder | Bench grinder | Power drill | Heat gun | Sander | C | 1 | Remember
126 | KM-01 | KT0503 | Engineering Tools & Equipment | Power tools | TF | A drill bit must match the material being drilled. | True | False |  |  |  | A | 1 | Apply
127 | KM-01 | KT0504 | Engineering Tools & Equipment | Measuring tools | MCQ | Which measuring tool is used to check internal diameters? | Outside caliper | Inside caliper | Steel rule | Vernier height gauge | Feeler gauge | B | 1 | Understand
128 | KM-01 | KT0504 | Engineering Tools & Equipment | Measuring tools | TF | Feeler gauges are used to measure small gaps. | True | False |  |  |  | A | 1 | Remember
129 | KM-01 | KT0505 | Engineering Tools & Equipment | Marking-off tools | MCQ | Which tool is used to measure angles? | Vernier caliper | Protractor | Divider | Punch | Scriber | B | 1 | Remember
130 | KM-01 | KT0505 | Engineering Tools & Equipment | Marking-off tools | TF | A combination set can be used for 45¯ and 90¯ marking. | True | False |  |  |  | A | 1 | Apply
131 | KM-01 | KT0501 | Engineering Tools & Equipment | Hand tools | MCQ | Which hammer is commonly used for general workshop tasks? | Ball-peen hammer | Sledgehammer | Rubber mallet | Claw hammer | Dead-blow hammer | A | 1 | Remember
132 | KM-01 | KT0501 | Engineering Tools & Equipment | Hand tools | TF | A ball?peen hammer is suitable for shaping metal. | True | False |  |  |  | A | 1 | Understand
133 | KM-01 | KT0502 | Engineering Tools & Equipment | Cutting tools | MCQ | Which tool is used to cut internal threads? | Die | Tap | Reamer | File | Chisel | B | 1 | Remember
134 | KM-01 | KT0502 | Engineering Tools & Equipment | Cutting tools | TF | Taps must be lubricated when cutting threads. | True | False |  |  |  | A | 1 | Apply
135 | KM-01 | KT0503 | Engineering Tools & Equipment | Power tools | MCQ | Which tool is used to smooth rough metal edges? | Power drill | Angle grinder | Heat gun | Jigsaw | Sander | B | 1 | Understand
136 | KM-01 | KT0503 | Engineering Tools & Equipment | Power tools | TF | Power tools must be inspected for damaged cords before use. | True | False |  |  |  | A | 1 | Apply
137 | KM-01 | KT0504 | Engineering Tools & Equipment | Measuring tools | MCQ | Which tool is used to measure depth? | Vernier caliper | Steel rule | Divider | Micrometer | Try square | A | 1 | Apply
138 | KM-01 | KT0504 | Engineering Tools & Equipment | Measuring tools | TF | A vernier caliper can measure internal, external, and depth dimensions. | True | False |  |  |  | A | 1 | Understand
139 | KM-01 | KT0505 | Engineering Tools & Equipment | Marking-off tools | MCQ | Which marking tool is used to draw arcs and circles? | Divider | Punch | Scriber | Protractor | Steel rule | A | 1 | Remember
140 | KM-01 | KT0505 | Engineering Tools & Equipment | Marking-off tools | TF | Marking-off must always be done before cutting or machining. | True | False |  |  |  | A | 1 | Apply
141 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | MCQ | Which device is used to lift heavy loads vertically? | Chain block | Hacksaw | Bench vice | Grinder | Spanner | A | 1 | Remember
142 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | TF | A chain block uses a geared mechanism to lift loads. | True | False |  |  |  | A | 1 | Understand
143 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | MCQ | Which sling type is commonly used for lifting irregular loads? | Wire rope sling | Nylon webbing sling | Chain sling | All of the above | None of the above | D | 1 | Understand
144 | KM-01 | KT0601 | Basic Lifting Concepts | Rigging identification | TF | Wire rope slings are stronger than synthetic slings of the same diameter. | True | False |  |  |  | A | 1 | Understand
145 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | MCQ | The term ?SWL? stands for: | Safe Working Load | Standard Weight Limit | Sling Weight Level | Safety Warning Label | Safe Wire Load | A | 1 | Remember
146 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | TF | SWL indicates the maximum load a lifting device can safely handle. | True | False |  |  |  | A | 1 | Understand
147 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | MCQ | What is the purpose of a block and tackle? | To cut metal | To increase mechanical advantage | To measure angles | To store tools | To reduce friction in bearings | B | 1 | Understand
148 | KM-01 | KT0602 | Basic Lifting Concepts | Rigging concepts | TF | Mechanical advantage reduces the effort needed to lift a load. | True | False |  |  |  | A | 1 | Apply
149 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | MCQ | Before lifting a load, you must first: | Estimate the load weight | Ignore the load weight | Assume the load is safe | Lift without checking | Ask a coworker | A | 1 | Apply
150 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | TF | Overloading lifting equipment can cause catastrophic failure. | True | False |  |  |  | A | 1 | Understand
151 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | MCQ | Which factor affects sling load capacity? | Colour of the sling | Angle of the lift | Temperature of the workshop | Operator?s age | Time of day | B | 1 | Understand
152 | KM-01 | KT0603 | Basic Lifting Concepts | Load selection | TF | Sling capacity decreases as the lifting angle decreases. | True | False |  |  |  | A | 1 | Apply
